Ordre de travail;Staut Ordre de travail;Service;Description;Equipment;Nom Equipement;date enregistrement;Noeud Parent;Nom_parent;Classification Equipement;Date début;Date Fin;Modèle OT;Type OT
OT004836;clôturé;méc;;PFC103;ERCA 3 (EF320L série 37212);07/01/2019 00:56;PFC1;conditionnement 1;Mec;06/01/2019;06/01/2019;;correctif planifié
OT004838;clôturé;méc;;PFC101;ERCA 1 (EF320L série 39306);08/01/2019 08:11;PFC1;conditionnement 1;Mec;08/01/2019;08/01/2019;;correctif planifié
OT004839;en cours de validati;dt/wissem;;PAV00212;2584 TU 128;08/01/2019 11:02;PAV002;Camions;mec;08/01/2019;08/01/2019;;correctif planifié
OT004852;clôturé;élec*;;PFC104;Serac A (DmxR12T12/540 série M06-OF64);08/01/2019 14:41;PFC1;conditionnement 1;Mec;08/01/2019;08/01/2019;;correctif planifié
OT004855;clôturé;DT/MEJDI;remplissage eau batterie;ULPRPH0604;CHARGEUR BATTERIE;04/01/2019 08:07;ULPRPH06;DIVERS UHT;Elec;04/01/2019;04/01/2019;;correctif planifié
OT004860;en cours INV;DT/MOUNIB;;ULPRPH0205;TBA/8;;ULPRPH02;UHT B;Mec;06/01/2019;06/01/2019;;correctif non planifié
OT004863;en cours INV;DT/SADOK;;ULPRPH0102;HOMO STEREDIAL;;ULPRPH01;UHT A;Mec;05/01/2019;05/01/2019;;correctif non planifié
OT004871;en cours INV;DT/OUSSAMA;;ULPRPH0104;TBA/8;;ULPRPH01;UHT A;Mec;05/01/2019;05/01/2019;;correctif planifié
OT004872;clôturé;méc (bureau de recherche);;PFP200;Divers Process 2;07/01/2019 13:45;PFP2;Etage (Process 2);;07/01/2019;07/01/2019;;correctif planifié
OT004875;en cours INV;DT/YOUSSEF;;ULPRPH0102;HOMO STEREDIAL;;ULPRPH01;UHT A;Mec;06/01/2019;06/01/2019;;correctif non planifié
OT004877;en cours INV;MECANIQUE;Fuite du lait au niveau tête Homo===>Révision la tête;ULPRPH0102;HOMO STEREDIAL;07/02/2019 10:00;ULPRPH01;UHT A;Mec;07/01/2019;07/01/2019;;correctif planifié
OT004879;clôturé;Prod;;PFC101;ERCA 1 (EF320L série 39306);07/01/2019 10:20;PFC1;conditionnement 1;Mec;07/01/2019;07/01/2019;;correctif planifié
OT004880;en cours INV;DT/SALANI;;ULPRPH020504;UNITE RACCORDEMENT PAPIER;;ULPRPH0205;TBA/8;Mec;07/01/2019;07/01/2019;;correctif non planifié
OT004881;clôturé;DT/GHAMMAM;Fuite du lait au niveau plaque de cisaillement===>changement la plaque;ULPRPS0202;HOMO;07/01/2019 09:00;ULPRPS02;BOUTEILLE;Mec;07/01/2019;07/01/2019;;correctif non planifié
OT004958;clôturé;dt/wajdi;;PAV203;TE Nø 4;08/01/2019 11:50;PAV2;Parc Auto Transpalettes;mec;08/01/2019;08/01/2019;;correctif planifié
OT004963;en cours INV;REPARATION FOURRAGE CHIBA;;ULUTTE0101;ARRIVEE EAU SONEDE;;ULUTTE01;TRAITEMENT;Mec;05/01/2019;05/01/2019;;correctif planifié
OT005042;clôturé;dt/wissem;;PAV004021;Chariot n°20;03/01/2019 12:14;PAV004;Chariots Elevateurs;MEC;03/01/2019;03/01/2019;;correctif planifié
OT005054;clôturé;dt/Abdelhamid;;PAV00102;HYNUDAI ( 7066 TU 122 );05/01/2019 12:10;pav001;Mini Bus;mec;05/01/2019;05/01/2019;;correctif planifié
OT005067;en cours INV;DT/MHM;;ULPRDV0104;TRANSPALETTE TC15- Hoers service;;ULPRDV01;TRANSPALETTE;Mec;08/01/2019;08/01/2019;;correctif planifié
OT005068;clôturé;ECP UHT A3flex;;GCULZ103;Production  UHT;09/01/2019 10:33;GCULZ1;Zone 1;Mec;09/01/2019;09/01/2019;;correctif planifié
OT005126;clôturé;élec;;PFC201;ERCA dessert 1 (MF14 série 29313);08/12/2018 19:06;PFC2;Conditionnement 2;;08/01/2019;08/01/2019;;correctif planifié
OT005127;en cours INV;MECANIQUE;Fuite au niveau tête HOMO;ULPRPH0102;HOMO STEREDIAL;08/02/2019 18:00;ULPRPH01;UHT A;Mec;08/01/2019;08/01/2019;;correctif non planifié
OT005128;clôturé;méc;;PFC106;Sleever A (03/07-0281);08/01/2019 03:00;PFC1;conditionnement 1;Mec;08/01/2019;08/01/2019;;correctif non planifié
OT005129;en cours INV;CHANGEMENT FILTRES;;ULUTTE010502;osmoseurs d'eaux n2;;ULUTTE0105;OSMOSEURS EAUX;Mec;07/01/2019;08/01/2019;;correctif non planifié
OT005130;clôturé;élec;tirage 3 cables IFM pour chaque vanne produit ERCA 1,2 et 3;PFC100;Divers conditionnement 1;12/01/2019 10:00;PFC1;conditionnement 1;Elec;12/01/2019;12/01/2019;;correctif non planifié
OT005130;clôturé;élec;tirage 3 cables IFM pour chaque vanne produit ERCA 1,2 et 3;PFC100;Divers conditionnement 1;12/01/2019 10:00;PFC1;conditionnement 1;Elec;12/01/2019;12/01/2019;;correctif non planifié
OT005131;clôturé;méc;;PFC104;Serac A (DmxR12T12/540 série M06-OF64);08/01/2019 05:35;PFC1;conditionnement 1;Mec;08/01/2019;08/01/2019;;correctif planifié
OT005132;clôturé;méc;;PFC104;Serac A (DmxR12T12/540 série M06-OF64);08/01/2019 04:10;PFC1;conditionnement 1;Mec;08/01/2019;08/01/2019;;correctif non planifié
OT005133;en cours INV;DT/HAMDI;;ULPRPH0401;STEREDIAL;;ULPRPH04;UHT D;Mec;08/01/2019;08/01/2019;;correctif planifié
OT005159;clôturé;méc;;PFP20204;Chambrage;08/01/2019 08:12;PFP202;Pasto 6 (boisson lactée);;08/01/2019;08/01/2019;;correctif planifié
OT005160;clôturé;MECANIQUE;Changement des joint suite mauvaises état;ULPRPS0204;REMPLISSEUSE-CAPSULEUSE;08/01/2019 08:00;ULPRPS02;BOUTEILLE;;08/01/2019;08/01/2019;;correctif planifié
OT005161;clôturé;MECANIQUE;changement des circlips suite mauvais état;ULPRPS0204;REMPLISSEUSE-CAPSULEUSE;07/01/2019 09:00;ULPRPS02;BOUTEILLE;;07/01/2019;07/01/2019;;correctif planifié
OT005162;clôturé;EPC Serrure bureau;;GCULZ300;Administration;09/01/2019 11:17;GCULZ3;Zone 3;Mec;09/01/2019;09/01/2019;;correctif planifié
OT005164;en cours INV;CHANGEMENT DISTRIBUTEUR;;ULUTTE010501;osmoseurs eaux n1;;ULUTTE0105;OSMOSEURS EAUX;Mec;07/01/2019;07/01/2019;;correctif non planifié
OT005216;en cours INV;DT/BTM (Réparation fuite + Fixation circuit de réfroidissement);;ULPRPH0402;HOMO STEREDIAL;;ULPRPH04;UHT D;Mec;09/01/2019;09/01/2019;;correctif planifié
OT005651;clôturé;élec*;;PFS101;Mimasa 1 (L-300 série 446);10/01/2019 14:42;PFS1;Suremballage;Mec;10/01/2019;10/01/2019;;correctif planifié
OT005663;en cours INV;DT/FREJ;;ULPRPH030507;UNITE FINALE DE PLIAGE;;ULPRPH0305;A3/FLEX;Mec;04/01/2019;04/07/2019;;correctif non planifié
OT005664;clôturé;ELECTRIQUE;Changement détecteur de niveau;ULPRPS0204;REMPLISSEUSE-CAPSULEUSE;06/01/2019 02:00;ULPRPS02;BOUTEILLE;;06/01/2019;06/07/2019;;correctif non planifié
OT005665;en cours INV;DT/MHM (Défaut filtre hydraulique);;ULPRPH0405;A3/FLEX;;ULPRPH04;UHT D;Mec;09/01/2019;09/01/2019;;correctif planifié
OT005679;en cours INV;REVISION VANNE;;ULPRPT05;PASTO LAIT N1;;ULPRPT;TRAITEMENT;Mec;07/01/2019;07/01/2019;;correctif planifié
OT005680;en cours INV;ELIMINATION FUITE VAPEUR;;ULPRPT0105;NEP D;;ULPRPT01;NEP;ALIM;08/01/2019;08/01/2019;;correctif planifié
OT005682;en cours INV;CHANGEMENT LAME;;ULPRPF0405;TREPKO;;ULPRPF04;BEURRE;ALIM;03/01/2019;03/01/2019;;correctif non planifié
OT005683;clôturé;trait;;PFP100;Divers Process 1;10/01/2019 11:06;PFP1;Traitement 1 (Process 1);;10/01/2019;10/01/2019;;correctif planifié
OT006412;clôturé;méc;;PFC201;ERCA dessert 1 (MF14 série 29313);09/01/2019 20:00;PFC2;Conditionnement 2;;10/01/2019;10/01/2019;;correctif planifié
OT006413;clôturé;méc*;;PFC103;ERCA 3 (EF320L série 37212);10/01/2019 08:24;PFC1;conditionnement 1;Mec;10/01/2019;10/01/2019;;correctif planifié
OT006414;clôturé;élec*;;PFC107;Serac B (DmxR12T12/540 série M12-OM24);10/01/2019 14:43;PFC1;conditionnement 1;Mec;10/01/2019;10/01/2019;;correctif planifié
OT006415;clôturé;élec*;;PFS110;Chariot porte bobine;10/01/2019 14:44;PFS1;Suremballage;Elec;10/01/2019;10/01/2019;;correctif planifié
OT006416;clôturé;méc*;;PFS100;Divers suremballage;09/01/2019 08:25;PFS1;Suremballage;Elec;09/01/2019;09/01/2019;;correctif planifié
OT006417;en cours INV;CHANGEMENT CAPTEUR IFM;;ULPRPT0103;NEP AB;;ULPRPT01;NEP;ALIM;03/01/2019;03/01/2019;;correctif planifié
OT006418;clôturé;dt/Abdelhamid;;PAV310;GB Nø 11;10/01/2019 11:41;PAV3;Parc Auto Gerbeurs;mec;10/01/2019;10/01/2019;;correctif planifié
OT006419;clôturé;dt/Abdelhamid;;PAV206;TE Nø 7;10/01/2019 11:36;PAV2;Parc Auto Transpalettes;mec;10/01/2019;10/01/2019;;correctif planifié
OT006420;en cours INV;CHANGEMENT CONTACTEUR;;ULUTVP0107;CHAUDIERE N°2 TEST;;ULUTVP01;PRODUCTION VAPEUR;ENERG;07/01/2019;07/01/2019;;correctif non planifié
OT006889;en cours INV;EXTENSION CIRCUIT EAU CHAUDE;EXTENSION CIRCUIT EAU CHAUDE;ULUTVP0103;CIRCUIT ENVOI VAPEUR;;ULUTVP01;PRODUCTION VAPEUR;Mec;01/01/2019;31/01/2019;;correctif planifié
OT007654;en cours INV;CHANGEMENT JOINT ECHANGEUR;;ULPRPT06;PASTO LAIT N2;;ULPRPT;TRAITEMENT;Mec;11/01/2019;11/01/2019;;correctif planifié
OT007655;clôturé;DT/MAGASIN MC;mise en place nouveau transpalette au niveau atelier magasin consommable;ULPRPH0607;DIVERS EQUIPEMENT;06/01/2019 08:13;ULPRPH06;DIVERS UHT;Mec;06/01/2019;06/01/2019;;correctif planifié
OT007816;clôturé;méc;;PFP20201;Homo G110;10/01/2019 16:30;PFP202;Pasto 6 (boisson lactée);;10/01/2019;10/01/2019;;correctif planifié
OT007817;clôturé;méc;;PFS101;Mimasa 1 (L-300 série 446);10/01/2019 09:19;PFS1;Suremballage;Mec;10/01/2019;10/01/2019;;correctif planifié
OT007818;clôturé;prod;;PFC109;Sleever B (10000853-417);10/01/2019 10:21;PFC1;conditionnement 1;Mec;10/01/2019;10/01/2019;;correctif planifié
OT007819;clôturé;méc*;;PFP200;Divers Process 2;10/01/2019 08:42;PFP2;Etage (Process 2);;10/01/2019;10/01/2019;;correctif planifié
OT008626;en cours INV;CHANGEMENT JOINT;;ULPRPF0201;ELOPAK;;ULPRPF02;LBEN RAIB;Mec;12/01/2019;12/01/2019;;correctif non planifié
OT008629;clôturé;méc*;;PFC201;ERCA dessert 1 (MF14 série 29313);11/01/2019 08:44;PFC2;Conditionnement 2;;11/01/2019;11/01/2019;;correctif planifié
OT008631;clôturé;ECP-entretien vestiaire;;GCULZ323;Vestiaires UL;11/01/2019 08:04;GCULZ3;Zone 3;GC;11/01/2019;11/01/2019;;correctif planifié
OT008632;clôturé;Extension(bureau de recherche);Extension (bureau de recherche);PFP211;Bureau de Recherche;04/01/2019 13:49;PFP2;Etage (Process 2);Qual;04/01/2019;04/01/2019;;correctif planifié
OT008636;clôturé;méc;;PFC101;ERCA 1 (EF320L série 39306);11/01/2019 23:00;PFC1;conditionnement 1;Mec;11/01/2019;11/01/2019;;correctif non planifié
OT008640;clôturé;méc;;PFC206;Galdi RG250;11/01/2019 00:15;PFC2;Conditionnement 2;;11/01/2019;11/01/2019;;correctif non planifié
OT008658;clôturé;DT/ICHAOUI;changement batterie;ULPRPH0602;CHARIOT PORTE BOBINE ELECTRIQUE;12/01/2019 08:14;ULPRPH06;DIVERS UHT;Elec;12/01/2019;12/01/2019;;correctif planifié
OT008659;clôturé;fourniture génie civil;;four GC;Fourniture GC;01/01/2019 08:06;GC;Genie civil;GC;12/01/2019;01/02/2019;;correctif planifié
OT008661;en cours INV;DT/TUCOM;;ULPRPH06;DIVERS UHT;;ULPRPH;LIGNE UHT;Mec;06/01/2019;06/01/2019;;correctif planifié
OT008662;en cours INV;DT/M SIOUD (Echantillonneur);;ULPRPH030903;ECHANTILLONNEUR;;ULPRPH0309;CONVOYEUR;Mec;11/01/2019;11/01/2019;;correctif planifié
OT008663;clôturé;MECANIQUE;Problème soudure plastique====>Mise point 0 barre de soudure;ULPRPS0207;FARDELEUSE;11/01/2019 10:00;ULPRPS02;BOUTEILLE;;11/01/2019;11/01/2019;;correctif non planifié
OT008664;en cours INV;DT/HAMMOUDA;;ULPRPH0205;TBA/8;;ULPRPH02;UHT B;Mec;11/01/2019;11/01/2019;;correctif planifié
OT008666;clôturé;méc*;;PFD014;Ligne Vapeur;09/01/2019 08:44;PFD0;Divers;;09/01/2019;09/01/2019;;correctif planifié
OT008667;clôturé;dt/Abdelhamid;;PAV302;GB Nø 3;11/01/2019 12:18;PAV3;Parc Auto Gerbeurs;mec;11/01/2019;11/01/2019;;correctif planifié
OT008681;clôturé;méc*;;PFG309;Les Gaines Textile;12/01/2019 08:46;PFG3;Atelier CTA 1;;12/01/2019;12/01/2019;;correctif planifié
OT008682;clôturé;méc*;;PFP10307;Echangeur à plaque;13/01/2019 08:48;PFP103;Pasto 3 (Pasto Mix);;13/01/2019;13/01/2019;;correctif non planifié
OT008683;clôturé;méc*;;PFC205;ERCA Pate Fraiche (MF7 série 29413);15/01/2019 06:15;PFC2;Conditionnement 2;;15/01/2019;15/01/2019;;correctif planifié
OT008685;clôturé;méc;;PFC205;ERCA Pate Fraiche (MF7 série 29413);14/01/2019 08:16;PFC2;Conditionnement 2;;14/01/2019;14/01/2019;;correctif non planifié
OT008686;clôturé;élec*;;PFC206;Galdi RG250;13/01/2019 14:51;PFC2;Conditionnement 2;;13/01/2019;13/01/2019;;correctif planifié
OT008687;clôturé;élec*;;PFC102;ERCA 2 (EF320L série 34407);13/01/2019 09:02;PFC1;conditionnement 1;Mec;13/01/2019;13/01/2019;;correctif planifié
OT008688;clôturé;méc;;PFC206;Galdi RG250;13/01/2019 22:35;PFC2;Conditionnement 2;;13/01/2019;13/01/2019;;correctif non planifié
OT008689;clôturé;méc*;;PFC101;ERCA 1 (EF320L série 39306);12/01/2019 23:05;PFC1;conditionnement 1;Mec;12/01/2019;12/01/2019;;correctif planifié
OT008690;clôturé;élec*;;PFC107;Serac B (DmxR12T12/540 série M12-OM24);14/01/2019 14:52;PFC1;conditionnement 1;Mec;14/01/2019;14/01/2019;;correctif non planifié
OT008692;clôturé;élec*;;PFD005;Transpalette Gerbeur;14/01/2019 14:53;PFD0;Divers;;14/01/2019;14/01/2019;;correctif planifié
OT008693;clôturé;méc;;PFS103;ET-Packt;02/01/2019 09:00;PFS1;Suremballage;Mec;02/01/2019;02/01/2019;;correctif non planifié
OT008694;clôturé;méc;BOURRAGE;PFC103;ERCA 3 (EF320L série 37212);02/01/2019 17:51;PFC1;conditionnement 1;Mec;01/01/2019;01/01/2019;;correctif planifié
OT008695;clôturé;méc;;PFD014;Ligne Vapeur;01/01/2019 09:00;PFD0;Divers;;01/01/2019;01/01/2019;;correctif non planifié
OT008696;clôturé;méc;;PFC103;ERCA 3 (EF320L série 37212);01/01/2019 17:22;PFC1;conditionnement 1;Mec;01/01/2019;01/01/2019;;correctif planifié
OT008697;clôturé;méc;;PFC106;Sleever A (03/07-0281);02/01/2019 05:00;PFC1;conditionnement 1;Mec;01/01/2019;01/01/2019;;correctif planifié
OT008698;clôturé;méc;;PFC103;ERCA 3 (EF320L série 37212);03/01/2019 16:28;PFC1;conditionnement 1;Mec;03/01/2019;03/01/2019;;correctif planifié
OT008699;clôturé;méc;;PFC101;ERCA 1 (EF320L série 39306);03/01/2019 00:39;PFC1;conditionnement 1;Mec;03/01/2019;03/01/2019;;correctif planifié
OT008700;clôturé;méc;;PFS103;ET-Packt;03/01/2019 11:35;PFS1;Suremballage;Mec;03/01/2019;03/01/2019;;correctif planifié
OT008701;clôturé;élec;;PFC111;Vidéo Jet 2 (Serac);01/01/2019 04:10;PFC1;conditionnement 1;Mec;01/01/2019;01/01/2019;;correctif planifié
OT008702;clôturé;méc;;PFC103;ERCA 3 (EF320L série 37212);01/01/2019 23:40;PFC1;conditionnement 1;Mec;01/01/2019;01/01/2019;;correctif non planifié
OT008703;clôturé;méc;;PFC203;ERCA dessert 2 (MF14 série 26016);30/12/2018 15:37;PFC2;Conditionnement 2;;30/12/2018;30/12/2018;;correctif planifié
OT008704;clôturé;méc;;PFC103;ERCA 3 (EF320L série 37212);30/12/2018 11:30;PFC1;conditionnement 1;Mec;30/12/2018;30/12/2018;;correctif non planifié
OT008705;clôturé;méc;;PFC104;Serac A (DmxR12T12/540 série M06-OF64);30/12/2018 08:50;PFC1;conditionnement 1;Mec;30/12/2018;30/12/2018;;correctif non planifié
OT008706;clôturé;méc;;PFC201;ERCA dessert 1 (MF14 série 29313);05/01/2019 06:10;PFC2;Conditionnement 2;;05/01/2019;05/01/2019;;correctif non planifié
OT009284;en cours INV;DT/H SIOUD;;ULPRPH0409;CONVOYEUR;;ULPRPH04;UHT D;Mec;15/01/2019;15/01/2019;;correctif planifié
OT009285;en cours INV;DT/SADOK;;ULPRPH0104;TBA/8;;ULPRPH01;UHT A;Mec;14/01/2019;14/01/2019;;correctif planifié
OT009286;clôturé;MECANIQUE;Fuite lait- plongeur droite==>Révision le plongeur;ULPRSR0102;HOMO;12/01/2019 09:00;ULPRSR01;STERELISATEUR REDA;Mec;12/01/2019;12/01/2019;;correctif planifié
OT009287;en cours INV;DT/H SIOUD;;ULPRPH0108;CONVOYEUR;;ULPRPH01;UHT A;Mec;13/01/2019;13/01/2019;;correctif non planifié
OT009288;en cours INV;ELIMINATION FUITE VAPEUR;;ULUTVP0103;CIRCUIT ENVOI VAPEUR;;ULUTVP01;PRODUCTION VAPEUR;Mec;16/01/2019;16/01/2019;;correctif non planifié
OT009292;en cours INV;DT/YOUSSEF (Défaut pince de préparation);;ULPRPH0205;TBA/8;;ULPRPH02;UHT B;Mec;15/01/2019;15/01/2019;;correctif planifié
OT009293;en cours INV;DT/SADOK;;ULPRPH0405;A3/FLEX;;ULPRPH04;UHT D;Mec;14/01/2019;15/01/2019;;correctif non planifié
OT009294;en cours INV;;;ULPRPH0405;A3/FLEX;;ULPRPH04;UHT D;Mec;13/01/2019;13/01/2019;;correctif planifié
OT009295;clôturé;MECANIQUE;Intervention sur barre de soudure suite problème déchirure plastique TRT;ULPRPS0208;CONVOYEUR;12/01/2019 09:00;ULPRPS02;BOUTEILLE;;12/01/2019;12/01/2019;;correctif planifié
OT009296;en cours INV;REVISION POMPE ENVOI;REVISION POMPE;ULPRPT06;PASTO LAIT N2;;ULPRPT;TRAITEMENT;Mec;30/12/2018;05/01/2019;;correctif non planifié
OT009297;en cours INV;CHANGEMENT CUBE;;ULPRPF0405;TREPKO;;ULPRPF04;BEURRE;ALIM;12/01/2019;12/01/2019;;correctif non planifié
OT009402;en cours INV;DT/H SIOUD;;ULPRPH0409;CONVOYEUR;;ULPRPH04;UHT D;Mec;15/01/2019;15/01/2019;;correctif planifié
OT009427;en cours INV;DT/SADOK;;ULPRPH0405;A3/FLEX;;ULPRPH04;UHT D;Mec;15/01/2019;16/01/2019;;correctif non planifié
OT009427;en cours INV;DT/SADOK;;ULPRPH0405;A3/FLEX;;ULPRPH04;UHT D;Mec;15/01/2019;16/01/2019;;correctif non planifié
